home_team,away_team,home_score,away_score,home_odds,away_odds,date,stadium,attendance,season,league,pitcher_home,pitcher_away,weather,runs,hits,errors
San Diego Padres,St. Louis Cardinals,3,5,1.95,1.95,2013-05-23,Petco Park,,2013,MLB,,,,8,23,1
Pittsburgh Pirates,Chicago Cubs,4,2,1.95,1.95,2013-05-23,PNC Park,,2013,MLB,,,,6,16,2
Toronto Blue Jays,Baltimore Orioles,12,6,1.95,1.95,2013-05-23,Rogers Centre,,2013,MLB,,,,18,21,2
Detroit Tigers,Minnesota Twins,7,6,1.95,1.95,2013-05-23,Comerica Park,,2013,MLB,,,,13,27,1
Boston Red Sox,Cleveland Indians,3,12,1.95,1.95,2013-05-23,Fenway Park,,2013,MLB,,,,15,23,1
Kansas City Royals,Los Angeles Angels,4,5,1.95,1.95,2013-05-24,Kauffman Stadium,,2013,MLB,,,,9,18,0
Washington Nationals,Philadelphia Phillies,5,2,1.95,1.95,2013-05-24,Nationals Park,,2013,MLB,,,,7,16,2
Toronto Blue Jays,Baltimore Orioles,6,10,1.95,1.95,2013-05-24,Rogers Centre,,2013,MLB,,,,16,33,1
Detroit Tigers,Minnesota Twins,6,0,1.95,1.95,2013-05-24,Comerica Park,,2013,MLB,,,,6,12,0
Cincinnati Reds,Chicago Cubs,7,4,1.95,1.95,2013-05-24,Great American Ball Park,,2013,MLB,,,,11,20,1
Boston Red Sox,Cleveland Indians,8,1,1.95,1.95,2013-05-24,Fenway Park,,2013,MLB,,,,9,13,1
New York Mets,Atlanta Braves,5,7,1.95,1.95,2013-05-24,Citi Field,,2013,MLB,,,,12,20,2
Tampa Bay Rays,New York Yankees,4,9,1.95,1.95,2013-05-24,Tropicana Field,,2013,MLB,,,,13,18,0
Kansas City Royals,Los Angeles Angels,2,5,1.95,1.95,2013-05-25,Kauffman Stadium,,2013,MLB,,,,7,17,1
Houston Astros,Oakland Athletics,5,6,1.95,1.95,2013-05-25,Minute Maid Park,,2013,MLB,,,,11,16,0
Chicago White Sox,Miami Marlins,4,3,1.95,1.95,2013-05-25,U.S. Cellular Field,,2013,MLB,,,,7,17,1
Milwaukee Brewers,Pittsburgh Pirates,2,1,1.95,1.95,2013-05-25,Miller Park,,2013,MLB,,,,3,9,0
Arizona Diamondbacks,San Diego Padres,5,2,1.95,1.95,2013-05-25,Chase Field,,2013,MLB,,,,7,16,0
Los Angeles Dodgers,St. Louis Cardinals,0,7,1.95,1.95,2013-05-25,Dodger Stadium,,2013,MLB,,,,7,9,2
Seattle Mariners,Texas Rangers,5,9,1.95,1.95,2013-05-25,Safeco Field,,2013,MLB,,,,14,27,0
San Francisco Giants,Colorado Rockies,0,5,1.95,1.95,2013-05-25,AT&T Park,,2013,MLB,,,,5,14,0
Toronto Blue Jays,Baltimore Orioles,5,6,1.95,1.95,2013-05-25,Rogers Centre,,2013,MLB,,,,11,22,2
Boston Red Sox,Cleveland Indians,7,4,1.95,1.95,2013-05-25,Fenway Park,,2013,MLB,,,,11,22,3
Kansas City Royals,Los Angeles Angels,0,7,1.95,1.95,2013-05-25,Kauffman Stadium,,2013,MLB,,,,7,12,1
San Francisco Giants,Colorado Rockies,6,5,1.95,1.95,2013-05-25,AT&T Park,,2013,MLB,,,,11,24,1
Detroit Tigers,Minnesota Twins,2,3,1.95,1.95,2013-05-25,Comerica Park,,2013,MLB,,,,5,18,1
Cincinnati Reds,Chicago Cubs,5,2,1.95,1.95,2013-05-25,Great American Ball Park,,2013,MLB,,,,7,13,0
Tampa Bay Rays,New York Yankees,3,4,1.95,1.95,2013-05-25,Tropicana Field,,2013,MLB,,,,7,18,1
Milwaukee Brewers,Pittsburgh Pirates,2,5,1.95,1.95,2013-05-25,Miller Park,,2013,MLB,,,,7,14,2
New York Mets,Atlanta Braves,5,7,1.95,1.95,2013-05-25,Citi Field,,2013,MLB,,,,12,20,2
Houston Astros,Oakland Athletics,5,11,1.95,1.95,2013-05-25,Minute Maid Park,,2013,MLB,,,,16,27,1
Los Angeles Dodgers,St. Louis Cardinals,5,3,1.95,1.95,2013-05-25,Dodger Stadium,,2013,MLB,,,,8,17,2
Washington Nationals,Philadelphia Phillies,3,5,1.95,1.95,2013-05-25,Nationals Park,,2013,MLB,,,,8,17,2
Chicago White Sox,Miami Marlins,2,1,1.95,1.95,2013-05-25,U.S. Cellular Field,,2013,MLB,,,,3,16,0
New York Mets,Atlanta Braves,0,6,1.95,1.95,2013-05-25,Citi Field,,2013,MLB,,,,6,17,0
Arizona Diamondbacks,San Diego Padres,4,10,1.95,1.95,2013-05-26,Chase Field,,2013,MLB,,,,14,24,2
Seattle Mariners,Texas Rangers,2,5,1.95,1.95,2013-05-26,Safeco Field,,2013,MLB,,,,7,18,2
Toronto Blue Jays,Baltimore Orioles,6,5,1.95,1.95,2013-05-26,Rogers Centre,,2013,MLB,,,,11,26,1
Detroit Tigers,Minnesota Twins,6,1,1.95,1.95,2013-05-26,Comerica Park,,2013,MLB,,,,7,9,1
Cincinnati Reds,Chicago Cubs,4,5,1.95,1.95,2013-05-26,Great American Ball Park,,2013,MLB,,,,9,15,1
Boston Red Sox,Cleveland Indians,6,5,1.95,1.95,2013-05-26,Fenway Park,,2013,MLB,,,,11,14,1
Washington Nationals,Philadelphia Phillies,6,1,1.95,1.95,2013-05-26,Nationals Park,,2013,MLB,,,,7,15,3
Tampa Bay Rays,New York Yankees,8,3,1.95,1.95,2013-05-26,Tropicana Field,,2013,MLB,,,,11,15,0
Kansas City Royals,Los Angeles Angels,2,5,1.95,1.95,2013-05-26,Kauffman Stadium,,2013,MLB,,,,7,20,2
Houston Astros,Oakland Athletics,2,6,1.95,1.95,2013-05-26,Minute Maid Park,,2013,MLB,,,,8,23,2
Chicago White Sox,Miami Marlins,5,3,1.95,1.95,2013-05-26,U.S. Cellular Field,,2013,MLB,,,,8,15,1
Milwaukee Brewers,Pittsburgh Pirates,4,5,1.95,1.95,2013-05-26,Miller Park,,2013,MLB,,,,9,20,2
San Francisco Giants,Colorado Rockies,7,3,1.95,1.95,2013-05-26,AT&T Park,,2013,MLB,,,,10,17,0
Arizona Diamondbacks,San Diego Padres,6,5,1.95,1.95,2013-05-26,Chase Field,,2013,MLB,,,,11,20,1
Los Angeles Dodgers,St. Louis Cardinals,3,5,1.95,1.95,2013-05-26,Dodger Stadium,,2013,MLB,,,,8,20,0
Seattle Mariners,Texas Rangers,4,3,1.95,1.95,2013-05-26,Safeco Field,,2013,MLB,,,,7,19,0
New York Mets,Atlanta Braves,4,2,1.95,1.95,2013-05-27,Citi Field,,2013,MLB,,,,6,14,2
Washington Nationals,Baltimore Orioles,2,6,1.95,1.95,2013-05-27,Nationals Park,,2013,MLB,,,,8,23,1
Detroit Tigers,Pittsburgh Pirates,6,5,1.95,1.95,2013-05-27,Comerica Park,,2013,MLB,,,,11,21,0
Cincinnati Reds,Cleveland Indians,4,2,1.95,1.95,2013-05-27,Great American Ball Park,,2013,MLB,,,,6,11,2
Houston Astros,Colorado Rockies,3,2,1.95,1.95,2013-05-27,Minute Maid Park,,2013,MLB,,,,5,22,3
Kansas City Royals,St. Louis Cardinals,3,6,1.95,1.95,2013-05-27,Kauffman Stadium,,2013,MLB,,,,9,25,0
Milwaukee Brewers,Minnesota Twins,3,6,1.95,1.95,2013-05-27,Miller Park,,2013,MLB,,,,9,17,1
Tampa Bay Rays,Miami Marlins,10,6,1.95,1.95,2013-05-27,Tropicana Field,,2013,MLB,,,,16,21,1
Arizona Diamondbacks,Texas Rangers,5,3,1.95,1.95,2013-05-27,Chase Field,,2013,MLB,,,,8,21,1
Arizona Diamondbacks,Texas Rangers,5,4,1.95,1.95,2013-05-28,Chase Field,,2013,MLB,,,,9,17,2
Oakland Athletics,San Francisco Giants,4,1,1.95,1.95,2013-05-27,O.co Coliseum,,2013,MLB,,,,5,9,0
Seattle Mariners,San Diego Padres,9,0,1.95,1.95,2013-05-27,Safeco Field,,2013,MLB,,,,9,15,1
Toronto Blue Jays,Atlanta Braves,9,3,1.95,1.95,2013-05-27,Rogers Centre,,2013,MLB,,,,12,19,1
Boston Red Sox,Philadelphia Phillies,9,3,1.95,1.95,2013-05-27,Fenway Park,,2013,MLB,,,,12,26,2
Chicago White Sox,Chicago Cubs,0,7,1.95,1.95,2013-05-27,U.S. Cellular Field,,2013,MLB,,,,7,11,1
New York Mets,New York Yankees,2,1,1.95,1.95,2013-05-27,Citi Field,,2013,MLB,,,,3,15,0
Los Angeles Dodgers,Los Angeles Angels,8,7,1.95,1.95,2013-05-28,Dodger Stadium,,2013,MLB,,,,15,27,3
Toronto Blue Jays,Atlanta Braves,6,7,1.95,1.95,2013-05-28,Rogers Centre,,2013,MLB,,,,13,24,3
Houston Astros,Colorado Rockies,1,2,1.95,1.95,2013-05-28,Minute Maid Park,,2013,MLB,,,,3,13,0
Washington Nationals,Baltimore Orioles,9,3,1.95,1.95,2013-05-28,Nationals Park,,2013,MLB,,,,12,21,0
Detroit Tigers,Pittsburgh Pirates,0,1,1.95,1.95,2013-05-28,Comerica Park,,2013,MLB,,,,1,11,2
Cincinnati Reds,Cleveland Indians,8,2,1.95,1.95,2013-05-28,Great American Ball Park,,2013,MLB,,,,10,25,1
Boston Red Sox,Philadelphia Phillies,1,3,1.95,1.95,2013-05-28,Fenway Park,,2013,MLB,,,,4,13,0
Tampa Bay Rays,Miami Marlins,7,6,1.95,1.95,2013-05-28,Tropicana Field,,2013,MLB,,,,13,26,0
New York Mets,New York Yankees,2,1,1.95,1.95,2013-05-28,Citi Field,,2013,MLB,,,,3,14,4
Kansas City Royals,St. Louis Cardinals,1,4,1.95,1.95,2013-05-29,Kauffman Stadium,,2013,MLB,,,,5,10,0
Milwaukee Brewers,Minnesota Twins,5,6,1.95,1.95,2013-05-29,Miller Park,,2013,MLB,,,,11,21,1
Oakland Athletics,San Francisco Giants,6,3,1.95,1.95,2013-05-29,O.co Coliseum,,2013,MLB,,,,9,15,1
Los Angeles Dodgers,Los Angeles Angels,3,0,1.95,1.95,2013-05-29,Dodger Stadium,,2013,MLB,,,,3,9,0
Seattle Mariners,San Diego Padres,1,6,1.95,1.95,2013-05-29,Safeco Field,,2013,MLB,,,,7,13,1
Chicago Cubs,Chicago White Sox,9,3,1.95,1.95,2013-05-29,Wrigley Field,,2013,MLB,,,,12,21,0
Cleveland Indians,Cincinnati Reds,5,2,1.95,1.95,2013-05-29,Progressive Field,,2013,MLB,,,,7,15,2
Baltimore Orioles,Washington Nationals,9,6,1.95,1.95,2013-05-29,Oriole Park at Camden Yards,,2013,MLB,,,,15,21,1
Pittsburgh Pirates,Detroit Tigers,5,3,1.95,1.95,2013-05-29,PNC Park,,2013,MLB,,,,8,15,2
Philadelphia Phillies,Boston Red Sox,4,3,1.95,1.95,2013-05-29,Citizens Bank Park,,2013,MLB,,,,7,15,1
New York Yankees,New York Mets,4,9,1.95,1.95,2013-05-29,Yankee Stadium,,2013,MLB,,,,13,24,2
Atlanta Braves,Toronto Blue Jays,0,3,1.95,1.95,2013-05-29,Turner Field,,2013,MLB,,,,3,12,2
Miami Marlins,Tampa Bay Rays,1,3,1.95,1.95,2013-05-29,Marlins Park,,2013,MLB,,,,4,10,1
Minnesota Twins,Milwaukee Brewers,4,1,1.95,1.95,2013-05-30,Target Field,,2013,MLB,,,,5,13,1
St. Louis Cardinals,Kansas City Royals,5,3,1.95,1.95,2013-05-30,Busch Stadium,,2013,MLB,,,,8,22,0
Colorado Rockies,Houston Astros,3,6,1.95,1.95,2013-05-30,Coors Field,,2013,MLB,,,,9,19,0
Los Angeles Angels,Los Angeles Dodgers,4,3,1.95,1.95,2013-05-30,Angel Stadium of Anaheim,,2013,MLB,,,,7,15,1
San Diego Padres,Seattle Mariners,3,2,1.95,1.95,2013-05-30,Petco Park,,2013,MLB,,,,5,14,0
San Francisco Giants,Oakland Athletics,6,9,1.95,1.95,2013-05-30,AT&T Park,,2013,MLB,,,,15,24,4
Texas Rangers,Arizona Diamondbacks,9,5,1.95,1.95,2013-05-30,Rangers Ballpark in Arlington,,2013,MLB,,,,14,29,1
Chicago Cubs,Chicago White Sox,8,3,1.95,1.95,2013-05-30,Wrigley Field,,2013,MLB,,,,11,19,1
San Diego Padres,Seattle Mariners,1,7,1.95,1.95,2013-05-30,Petco Park,,2013,MLB,,,,8,13,0
San Francisco Giants,Oakland Athletics,5,2,1.95,1.95,2013-05-30,AT&T Park,,2013,MLB,,,,7,15,2
Cleveland Indians,Cincinnati Reds,7,1,1.95,1.95,2013-05-30,Progressive Field,,2013,MLB,,,,8,19,0
Baltimore Orioles,Washington Nationals,2,0,1.95,1.95,2013-05-30,Oriole Park at Camden Yards,,2013,MLB,,,,2,12,0
Pittsburgh Pirates,Detroit Tigers,1,0,1.95,1.95,2013-05-30,PNC Park,,2013,MLB,,,,1,18,0
Philadelphia Phillies,Boston Red Sox,2,9,1.95,1.95,2013-05-30,Citizens Bank Park,,2013,MLB,,,,11,20,1
New York Yankees,New York Mets,1,3,1.95,1.95,2013-05-30,Yankee Stadium,,2013,MLB,,,,4,8,1
Atlanta Braves,Toronto Blue Jays,11,3,1.95,1.95,2013-05-30,Turner Field,,2013,MLB,,,,14,22,2
Miami Marlins,Tampa Bay Rays,2,5,1.95,1.95,2013-05-30,Marlins Park,,2013,MLB,,,,7,11,1
Minnesota Twins,Milwaukee Brewers,8,6,1.95,1.95,2013-05-31,Target Field,,2013,MLB,,,,14,24,0
St. Louis Cardinals,Kansas City Royals,2,4,1.95,1.95,2013-05-31,Busch Stadium,,2013,MLB,,,,6,12,2
Colorado Rockies,Houston Astros,5,7,1.95,1.95,2013-05-31,Coors Field,,2013,MLB,,,,12,22,4
Los Angeles Angels,Los Angeles Dodgers,3,2,1.95,1.95,2013-05-31,Angel Stadium of Anaheim,,2013,MLB,,,,5,15,0
Chicago Cubs,Arizona Diamondbacks,7,2,1.95,1.95,2013-05-31,Wrigley Field,,2013,MLB,,,,9,14,0
Baltimore Orioles,Detroit Tigers,7,5,1.95,1.95,2013-05-31,Oriole Park at Camden Yards,,2013,MLB,,,,12,15,0
Pittsburgh Pirates,Cincinnati Reds,0,6,1.95,1.95,2013-05-31,PNC Park,,2013,MLB,,,,6,9,0
Cleveland Indians,Tampa Bay Rays,2,9,1.95,1.95,2013-05-31,Progressive Field,,2013,MLB,,,,11,13,1
New York Yankees,Boston Red Sox,4,1,1.95,1.95,2013-05-31,Yankee Stadium,,2013,MLB,,,,5,15,0
Philadelphia Phillies,Milwaukee Brewers,5,8,1.95,1.95,2013-05-31,Citizens Bank Park,,2013,MLB,,,,13,20,4
Miami Marlins,New York Mets,5,1,1.95,1.95,2013-05-31,Marlins Park,,2013,MLB,,,,6,15,1
Atlanta Braves,Washington Nationals,2,3,1.95,1.95,2013-05-31,Turner Field,,2013,MLB,,,,5,13,0
Texas Rangers,Kansas City Royals,7,2,1.95,1.95,2013-06-01,Rangers Ballpark in Arlington,,2013,MLB,,,,9,23,1
Minnesota Twins,Seattle Mariners,0,3,1.95,1.95,2013-06-01,Target Field,,2013,MLB,,,,3,15,1
Colorado Rockies,Los Angeles Dodgers,5,7,1.95,1.95,2013-06-01,Coors Field,,2013,MLB,,,,12,22,0
Los Angeles Angels,Houston Astros,3,6,1.95,1.95,2013-06-01,Angel Stadium of Anaheim,,2013,MLB,,,,9,18,3
Oakland Athletics,Chicago White Sox,3,0,1.95,1.95,2013-06-01,O.co Coliseum,,2013,MLB,,,,3,10,0
San Diego Padres,Toronto Blue Jays,4,3,1.95,1.95,2013-06-01,Petco Park,,2013,MLB,,,,7,21,3
Cleveland Indians,Tampa Bay Rays,5,0,1.95,1.95,2013-06-01,Progressive Field,,2013,MLB,,,,5,12,1
Minnesota Twins,Seattle Mariners,5,4,1.95,1.95,2013-06-01,Target Field,,2013,MLB,,,,9,18,2
St. Louis Cardinals,San Francisco Giants,8,0,1.95,1.95,2013-06-01,Busch Stadium,,2013,MLB,,,,8,17,0
St. Louis Cardinals,San Francisco Giants,7,1,1.95,1.95,2013-06-01,Busch Stadium,,2013,MLB,,,,8,17,0
Baltimore Orioles,Detroit Tigers,3,10,1.95,1.95,2013-06-01,Oriole Park at Camden Yards,,2013,MLB,,,,13,21,0
Texas Rangers,Kansas City Royals,1,4,1.95,1.95,2013-06-01,Rangers Ballpark in Arlington,,2013,MLB,,,,5,17,2
Oakland Athletics,Chicago White Sox,4,3,1.95,1.95,2013-06-01,O.co Coliseum,,2013,MLB,,,,7,26,0
Philadelphia Phillies,Milwaukee Brewers,3,4,1.95,1.95,2013-06-01,Citizens Bank Park,,2013,MLB,,,,7,20,2
Colorado Rockies,Los Angeles Dodgers,7,6,1.95,1.95,2013-06-01,Coors Field,,2013,MLB,,,,13,25,3
Miami Marlins,New York Mets,8,1,1.95,1.95,2013-06-01,Marlins Park,,2013,MLB,,,,9,18,1
Chicago Cubs,Arizona Diamondbacks,4,12,1.95,1.95,2013-06-01,Wrigley Field,,2013,MLB,,,,16,20,0
Pittsburgh Pirates,Cincinnati Reds,0,2,1.95,1.95,2013-06-01,PNC Park,,2013,MLB,,,,2,18,0
Atlanta Braves,Washington Nationals,2,1,1.95,1.95,2013-06-01,Turner Field,,2013,MLB,,,,3,10,1
New York Yankees,Boston Red Sox,1,11,1.95,1.95,2013-06-01,Yankee Stadium,,2013,MLB,,,,12,24,0
Los Angeles Angels,Houston Astros,0,2,1.95,1.95,2013-06-02,Angel Stadium of Anaheim,,2013,MLB,,,,2,12,1
San Diego Padres,Toronto Blue Jays,4,3,1.95,1.95,2013-06-02,Petco Park,,2013,MLB,,,,7,23,1
Cleveland Indians,Tampa Bay Rays,3,11,1.95,1.95,2013-06-02,Progressive Field,,2013,MLB,,,,14,25,1
Miami Marlins,New York Mets,11,6,1.95,1.95,2013-06-02,Marlins Park,,2013,MLB,,,,17,25,1
Baltimore Orioles,Detroit Tigers,4,2,1.95,1.95,2013-06-02,Oriole Park at Camden Yards,,2013,MLB,,,,6,20,0
Pittsburgh Pirates,Cincinnati Reds,5,4,1.95,1.95,2013-06-02,PNC Park,,2013,MLB,,,,9,15,5
Atlanta Braves,Washington Nationals,6,3,1.95,1.95,2013-06-02,Turner Field,,2013,MLB,,,,9,14,2
Philadelphia Phillies,Milwaukee Brewers,7,5,1.95,1.95,2013-06-02,Citizens Bank Park,,2013,MLB,,,,12,19,2
Minnesota Twins,Seattle Mariners,10,0,1.95,1.95,2013-06-02,Target Field,,2013,MLB,,,,10,21,0
St. Louis Cardinals,San Francisco Giants,2,4,1.95,1.95,2013-06-02,Busch Stadium,,2013,MLB,,,,6,17,0
Chicago Cubs,Arizona Diamondbacks,4,8,1.95,1.95,2013-06-02,Wrigley Field,,2013,MLB,,,,12,19,2
Texas Rangers,Kansas City Royals,3,1,1.95,1.95,2013-06-02,Rangers Ballpark in Arlington,,2013,MLB,,,,4,11,2
Los Angeles Angels,Houston Astros,4,5,1.95,1.95,2013-06-02,Angel Stadium of Anaheim,,2013,MLB,,,,9,17,3
Oakland Athletics,Chicago White Sox,2,0,1.95,1.95,2013-06-02,O.co Coliseum,,2013,MLB,,,,2,9,1
Colorado Rockies,Los Angeles Dodgers,7,2,1.95,1.95,2013-06-02,Coors Field,,2013,MLB,,,,9,12,2
San Diego Padres,Toronto Blue Jays,4,7,1.95,1.95,2013-06-03,Petco Park,,2013,MLB,,,,11,22,1
Philadelphia Phillies,Miami Marlins,7,2,1.95,1.95,2013-06-03,Citizens Bank Park,,2013,MLB,,,,9,17,1
New York Yankees,Cleveland Indians,7,4,1.95,1.95,2013-06-03,Yankee Stadium,,2013,MLB,,,,11,18,1
Cincinnati Reds,Colorado Rockies,3,0,1.95,1.95,2013-06-03,Great American Ball Park,,2013,MLB,,,,3,13,1
Atlanta Braves,Pittsburgh Pirates,7,2,1.95,1.95,2013-06-03,Turner Field,,2013,MLB,,,,9,19,1
Milwaukee Brewers,Oakland Athletics,2,10,1.95,1.95,2013-06-04,Miller Park,,2013,MLB,,,,12,25,1
St. Louis Cardinals,Arizona Diamondbacks,7,1,1.95,1.95,2013-06-04,Busch Stadium,,2013,MLB,,,,8,21,0
Los Angeles Angels,Houston Astros,1,2,1.95,1.95,2013-06-04,Angel Stadium of Anaheim,,2013,MLB,,,,3,10,1
Los Angeles Dodgers,San Diego Padres,2,1,1.95,1.95,2013-06-04,Dodger Stadium,,2013,MLB,,,,3,15,0
Seattle Mariners,Chicago White Sox,4,2,1.95,1.95,2013-06-04,Safeco Field,,2013,MLB,,,,6,13,0
Washington Nationals,New York Mets,3,2,1.95,1.95,2013-06-04,Nationals Park,,2013,MLB,,,,5,11,2
Philadelphia Phillies,Miami Marlins,7,3,1.95,1.95,2013-06-04,Citizens Bank Park,,2013,MLB,,,,10,18,4
New York Yankees,Cleveland Indians,4,3,1.95,1.95,2013-06-04,Yankee Stadium,,2013,MLB,,,,7,12,1
Detroit Tigers,Tampa Bay Rays,10,1,1.95,1.95,2013-06-04,Comerica Park,,2013,MLB,,,,11,19,0
Cincinnati Reds,Colorado Rockies,4,5,1.95,1.95,2013-06-04,Great American Ball Park,,2013,MLB,,,,9,16,0
Boston Red Sox,Texas Rangers,17,5,1.95,1.95,2013-06-04,Fenway Park,,2013,MLB,,,,22,28,2
Atlanta Braves,Pittsburgh Pirates,5,4,1.95,1.95,2013-06-04,Turner Field,,2013,MLB,,,,9,15,2
Houston Astros,Baltimore Orioles,1,4,1.95,1.95,2013-06-05,Minute Maid Park,,2013,MLB,,,,5,13,2
Kansas City Royals,Minnesota Twins,0,3,1.95,1.95,2013-06-05,Kauffman Stadium,,2013,MLB,,,,3,14,0
Milwaukee Brewers,Oakland Athletics,4,3,1.95,1.95,2013-06-05,Miller Park,,2013,MLB,,,,7,19,0
St. Louis Cardinals,Arizona Diamondbacks,6,7,1.95,1.95,2013-06-05,Busch Stadium,,2013,MLB,,,,13,28,0
Los Angeles Angels,Chicago Cubs,4,3,1.95,1.95,2013-06-05,Angel Stadium of Anaheim,,2013,MLB,,,,7,16,1
Los Angeles Dodgers,San Diego Padres,9,7,1.95,1.95,2013-06-05,Dodger Stadium,,2013,MLB,,,,16,23,2
Seattle Mariners,Chicago White Sox,7,4,1.95,1.95,2013-06-05,Safeco Field,,2013,MLB,,,,11,18,0
San Francisco Giants,Toronto Blue Jays,2,1,1.95,1.95,2013-06-05,AT&T Park,,2013,MLB,,,,3,11,2
Atlanta Braves,Pittsburgh Pirates,5,0,1.95,1.95,2013-06-05,Turner Field,,2013,MLB,,,,5,8,3
Philadelphia Phillies,Miami Marlins,6,1,1.95,1.95,2013-06-05,Citizens Bank Park,,2013,MLB,,,,7,14,0
New York Yankees,Cleveland Indians,6,4,1.95,1.95,2013-06-05,Yankee Stadium,,2013,MLB,,,,10,15,1
Milwaukee Brewers,Oakland Athletics,1,6,1.95,1.95,2013-06-05,Miller Park,,2013,MLB,,,,7,19,1
Seattle Mariners,Chicago White Sox,5,7,1.95,1.95,2013-06-05,Safeco Field,,2013,MLB,,,,12,33,2
San Francisco Giants,Toronto Blue Jays,0,4,1.95,1.95,2013-06-05,AT&T Park,,2013,MLB,,,,4,10,0
Los Angeles Angels,Chicago Cubs,6,8,1.95,1.95,2013-06-05,Angel Stadium of Anaheim,,2013,MLB,,,,14,25,1
Washington Nationals,New York Mets,1,10,1.95,1.95,2013-06-05,Nationals Park,,2013,MLB,,,,11,25,0
Detroit Tigers,Tampa Bay Rays,0,3,1.95,1.95,2013-06-05,Comerica Park,,2013,MLB,,,,3,14,1
Cincinnati Reds,Colorado Rockies,4,12,1.95,1.95,2013-06-05,Great American Ball Park,,2013,MLB,,,,16,25,0
Boston Red Sox,Texas Rangers,2,3,1.95,1.95,2013-06-05,Fenway Park,,2013,MLB,,,,5,12,0
Houston Astros,Baltimore Orioles,11,7,1.95,1.95,2013-06-06,Minute Maid Park,,2013,MLB,,,,18,27,0
Kansas City Royals,Minnesota Twins,4,1,1.95,1.95,2013-06-06,Kauffman Stadium,,2013,MLB,,,,5,16,1
St. Louis Cardinals,Arizona Diamondbacks,3,10,1.95,1.95,2013-06-06,Busch Stadium,,2013,MLB,,,,13,23,2
Los Angeles Dodgers,San Diego Padres,2,6,1.95,1.95,2013-06-06,Dodger Stadium,,2013,MLB,,,,8,17,1
Detroit Tigers,Tampa Bay Rays,5,2,1.95,1.95,2013-06-06,Comerica Park,,2013,MLB,,,,7,19,0
Houston Astros,Baltimore Orioles,1,3,1.95,1.95,2013-06-06,Minute Maid Park,,2013,MLB,,,,4,17,1
Boston Red Sox,Texas Rangers,6,3,1.95,1.95,2013-06-06,Fenway Park,,2013,MLB,,,,9,23,0
St. Louis Cardinals,Arizona Diamondbacks,12,8,1.95,1.95,2013-06-06,Busch Stadium,,2013,MLB,,,,20,30,0
Kansas City Royals,Minnesota Twins,7,3,1.95,1.95,2013-06-07,Kauffman Stadium,,2013,MLB,,,,10,16,2
Chicago White Sox,Oakland Athletics,4,5,1.95,1.95,2013-06-07,U.S. Cellular Field,,2013,MLB,,,,9,18,0
Milwaukee Brewers,Philadelphia Phillies,1,5,1.95,1.95,2013-06-07,Miller Park,,2013,MLB,,,,6,15,0
Colorado Rockies,San Diego Padres,5,6,1.95,1.95,2013-06-07,Coors Field,,2013,MLB,,,,11,22,4
Los Angeles Dodgers,Atlanta Braves,5,0,1.95,1.95,2013-06-07,Dodger Stadium,,2013,MLB,,,,5,14,0
Seattle Mariners,New York Yankees,1,6,1.95,1.95,2013-06-07,Safeco Field,,2013,MLB,,,,7,13,1
Chicago Cubs,Pittsburgh Pirates,0,2,1.95,1.95,2013-06-07,Wrigley Field,,2013,MLB,,,,2,12,1
Toronto Blue Jays,Texas Rangers,6,1,1.95,1.95,2013-06-07,Rogers Centre,,2013,MLB,,,,7,10,0
Detroit Tigers,Cleveland Indians,7,5,1.95,1.95,2013-06-07,Comerica Park,,2013,MLB,,,,12,22,2
Cincinnati Reds,St. Louis Cardinals,2,9,1.95,1.95,2013-06-07,Great American Ball Park,,2013,MLB,,,,11,24,1
Tampa Bay Rays,Baltimore Orioles,2,1,1.95,1.95,2013-06-07,Tropicana Field,,2013,MLB,,,,3,8,0
Kansas City Royals,Houston Astros,4,2,1.95,1.95,2013-06-08,Kauffman Stadium,,2013,MLB,,,,6,18,0
Chicago White Sox,Oakland Athletics,3,4,1.95,1.95,2013-06-08,U.S. Cellular Field,,2013,MLB,,,,7,11,3
Milwaukee Brewers,Philadelphia Phillies,5,4,1.95,1.95,2013-06-08,Miller Park,,2013,MLB,,,,9,18,2
Colorado Rockies,San Diego Padres,10,9,1.95,1.95,2013-06-08,Coors Field,,2013,MLB,,,,19,33,0
Arizona Diamondbacks,San Francisco Giants,3,1,1.95,1.95,2013-06-08,Chase Field,,2013,MLB,,,,4,13,0
Los Angeles Dodgers,Atlanta Braves,2,1,1.95,1.95,2013-06-08,Dodger Stadium,,2013,MLB,,,,3,14,1
Seattle Mariners,New York Yankees,4,1,1.95,1.95,2013-06-08,Safeco Field,,2013,MLB,,,,5,13,1
Boston Red Sox,Los Angeles Angels,5,9,1.95,1.95,2013-06-08,Fenway Park,,2013,MLB,,,,14,26,2
Boston Red Sox,Los Angeles Angels,7,2,1.95,1.95,2013-06-08,Fenway Park,,2013,MLB,,,,9,20,3
Toronto Blue Jays,Texas Rangers,4,3,1.95,1.95,2013-06-08,Rogers Centre,,2013,MLB,,,,7,26,3
New York Mets,Miami Marlins,1,2,1.95,1.95,2013-06-08,Citi Field,,2013,MLB,,,,3,28,0
Chicago Cubs,Pittsburgh Pirates,2,6,1.95,1.95,2013-06-08,Wrigley Field,,2013,MLB,,,,8,13,0
Washington Nationals,Minnesota Twins,3,4,1.95,1.95,2013-06-08,Nationals Park,,2013,MLB,,,,7,21,1
