HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Date,League
Marseille,Nantes,2,1,H,1.6,4.2,5.5,2022-08-20,ligue_1
Vitesse,Heerenveen,0,4,A,1.95,3.6,3.8,2022-08-20,eredivisie
For Sittard,Cambuur,1,4,A,2.25,3.5,3.1,2022-08-20,eredivisie
FC Emmen,Utrecht,3,2,H,3.2,3.5,2.2,2022-08-20,eredivisie
Oostende,St Truiden,0,1,A,3.2,3.25,2.25,2022-08-20,pro_league
Genk,Cercle Brugge,2,1,H,1.61,4.33,4.5,2022-08-20,pro_league
Santa Clara,Arouca,1,2,A,2.05,3.25,3.75,2022-08-20,primeira_liga
Chaves,Vizela,1,1,D,2.25,3.3,3.25,2022-08-20,primeira_liga
Porto,Sp Lisbon,3,0,H,2.1,3.3,3.5,2022-08-20,primeira_liga
Giresunspor,Kasimpasa,1,0,H,2.25,3.5,3.0,2022-08-20,super_lig
Hatayspor,Gaziantep,1,2,A,2.1,3.5,3.25,2022-08-20,super_lig
Antalyaspor,Trabzonspor,5,2,H,2.5,3.2,2.87,2022-08-20,super_lig
Norwich,Millwall,2,0,H,1.95,3.4,4.2,2022-08-19,championship
Espanol,Vallecano,0,2,A,2.45,3.1,3.1,2022-08-19,la_liga
Sevilla,Valladolid,1,1,D,1.5,4.2,6.5,2022-08-19,la_liga
M'gladbach,Hertha,1,0,H,1.5,4.5,6.0,2022-08-19,bundesliga
Lyon,Troyes,4,1,H,1.28,5.75,9.0,2022-08-19,ligue_1
Eupen,Seraing,1,3,A,1.7,3.8,4.75,2022-08-19,pro_league
Estoril,Rio Ave,2,2,D,2.1,3.25,3.75,2022-08-19,primeira_liga
Umraniyespor,Galatasaray,0,1,A,4.2,3.75,1.8,2022-08-19,super_lig
Stoke,Middlesbrough,2,2,D,2.7,3.2,2.75,2022-08-17,championship
Reading,Blackburn,3,0,H,3.2,3.2,2.3,2022-08-17,championship
Sheffield United,Sunderland,2,1,H,1.75,3.6,4.75,2022-08-17,championship
West Brom,Cardiff,0,0,D,1.6,4.0,5.5,2022-08-17,championship
Birmingham,Watford,1,1,D,3.6,3.4,2.0,2022-08-16,championship
Bristol City,Luton,2,0,H,2.62,3.4,2.55,2022-08-16,championship
Burnley,Hull,1,1,D,1.53,4.0,6.5,2022-08-16,championship
Norwich,Huddersfield,2,1,H,1.57,3.8,6.0,2022-08-16,championship
Preston,Rotherham,0,0,D,1.95,3.3,4.0,2022-08-16,championship
Swansea,Millwall,2,2,D,2.5,3.2,3.0,2022-08-16,championship
QPR,Blackpool,0,1,A,2.0,3.6,3.75,2022-08-16,championship
Liverpool,Crystal Palace,1,0,H,,,,2022-08-15,epl
Ath Bilbao,Mallorca,0,0,D,1.6,3.75,6.5,2022-08-15,la_liga
Getafe,Ath Madrid,0,3,A,5.0,3.1,1.9,2022-08-15,la_liga
Betis,Elche,3,0,H,1.44,4.5,7.0,2022-08-15,la_liga
Verona,Napoli,2,5,A,3.5,3.5,2.05,2022-08-15,serie_a
Juventus,Sassuolo,3,0,H,1.44,4.75,7.0,2022-08-15,serie_a
Maritimo,Chaves,1,2,A,2.25,3.3,3.2,2022-08-15,primeira_liga
Arouca,Gil Vicente,1,0,H,2.62,3.4,2.6,2022-08-15,primeira_liga
Pacos Ferreira,Portimonense,0,3,A,2.25,3.25,3.2,2022-08-15,primeira_liga
Konyaspor,Buyuksehyr,0,0,D,2.75,3.4,2.5,2022-08-15,super_lig
Kasimpasa,Fenerbahce,0,6,A,3.2,3.8,2.1,2022-08-15,super_lig
Chelsea,Tottenham,2,2,D,,,,2022-08-14,epl
Tottenham,Chelsea,0,0,D,,,,2022-08-14,epl
Nott'm Forest,West Ham,1,0,H,4.2,3.6,1.85,2022-08-14,premier_league
Middlesbrough,Sheffield United,2,2,D,2.45,3.3,2.9,2022-08-14,championship
Blackburn,West Brom,2,1,H,2.75,3.3,2.6,2022-08-14,championship
Cadiz,Sociedad,0,1,A,3.6,3.2,2.2,2022-08-14,la_liga
Valencia,Girona,1,0,H,1.85,3.4,4.5,2022-08-14,la_liga
Almeria,Real Madrid,1,2,A,7.5,5.0,1.4,2022-08-14,la_liga
Mainz,Union Berlin,0,0,D,2.2,3.25,3.4,2022-08-14,bundesliga
Bayern Munich,Wolfsburg,2,0,H,1.12,9.5,17.0,2022-08-14,bundesliga
Fiorentina,Cremonese,3,2,H,1.36,5.0,8.5,2022-08-14,serie_a
Lazio,Bologna,2,1,H,1.57,4.33,5.75,2022-08-14,serie_a
Salernitana,Roma,0,1,A,6.5,4.75,1.44,2022-08-14,serie_a
Spezia,Empoli,1,0,H,2.45,3.3,2.9,2022-08-14,serie_a
Ajaccio,Lens,0,0,D,3.2,3.25,2.3,2022-08-14,ligue_1
Auxerre,Angers,2,2,D,2.2,3.25,3.5,2022-08-14,ligue_1
Reims,Clermont,2,4,A,2.15,3.2,3.6,2022-08-14,ligue_1
Troyes,Toulouse,0,3,A,2.7,3.2,2.7,2022-08-14,ligue_1
Nice,Strasbourg,1,1,D,2.15,3.3,3.5,2022-08-14,ligue_1
Brest,Marseille,1,1,D,4.2,3.8,1.83,2022-08-14,ligue_1
Volendam,Nijmegen,1,4,A,2.6,3.5,2.62,2022-08-14,eredivisie
Ajax,Groningen,6,1,H,1.16,8.5,13.0,2022-08-14,eredivisie
Twente,For Sittard,3,0,H,1.5,4.5,6.5,2022-08-14,eredivisie
Sparta Rotterdam,AZ Alkmaar,2,3,A,4.33,3.5,1.9,2022-08-14,eredivisie
St Truiden,Anderlecht,0,3,A,3.6,3.5,2.0,2022-08-14,pro_league
Eupen,Antwerp,0,1,A,4.0,3.6,1.85,2022-08-14,pro_league
Oud-Heverlee Leuven,Club Brugge,0,3,A,5.25,3.75,1.65,2022-08-14,pro_league
Waregem,Genk,1,4,A,4.33,3.8,1.72,2022-08-14,pro_league
Boavista,Santa Clara,2,1,H,2.45,3.1,2.9,2022-08-14,primeira_liga
Vizela,Porto,0,1,A,10.0,5.25,1.28,2022-08-14,primeira_liga
Guimaraes,Estoril,1,0,H,1.95,3.4,3.8,2022-08-14,primeira_liga
Gaziantep,Ankaragucu,1,0,H,1.95,3.6,3.6,2022-08-14,super_lig
Umraniyespor,Antalyaspor,0,1,A,3.1,3.3,2.25,2022-08-14,super_lig
Alanyaspor,Besiktas,3,3,D,2.75,3.6,2.45,2022-08-14,super_lig
Aston Villa,Everton,2,1,H,,,,2022-08-13,epl
Leicester,Brentford,2,2,D,,,,2022-08-13,epl
Manchester City,Bournemouth,4,0,H,,,,2022-08-13,epl
Rayo Vallecano,Barcelona,0,1,A,,,,2022-08-13,la_liga
Rayo Vallecano,Barcelona,0,2,A,,,,2022-08-13,la_liga
Arsenal,Leicester,4,2,H,,,,2022-08-13,epl
Monaco,Ajaccio,6,0,H,,,,2022-08-13,ligue_1
Brighton,Newcastle,0,0,D,2.45,3.2,3.0,2022-08-13,premier_league
Man City,Bournemouth,4,0,H,1.06,13.0,29.0,2022-08-13,premier_league
Southampton,Leeds,2,2,D,2.25,3.5,3.1,2022-08-13,premier_league
Wolves,Fulham,0,0,D,2.3,3.3,3.2,2022-08-13,premier_league
Brentford,Man United,4,0,H,3.75,3.5,2.0,2022-08-13,premier_league
Cardiff,Birmingham,1,0,H,2.25,3.3,3.3,2022-08-13,championship
Blackpool,Swansea,0,1,A,2.4,3.3,3.0,2022-08-13,championship
Huddersfield,Stoke,3,1,H,2.7,3.2,2.75,2022-08-13,championship
Hull,Norwich,2,1,H,3.6,3.4,2.05,2022-08-13,championship
Luton,Preston,0,1,A,2.25,3.3,3.25,2022-08-13,championship
Millwall,Coventry,3,2,H,2.45,3.2,3.0,2022-08-13,championship
Rotherham,Reading,4,0,H,2.15,3.3,3.5,2022-08-13,championship
Sunderland,QPR,2,2,D,2.1,3.5,3.5,2022-08-13,championship
Wigan,Bristol City,1,1,D,2.2,3.3,3.4,2022-08-13,championship
Celta,Espanol,2,2,D,1.8,3.75,4.75,2022-08-13,la_liga
Valladolid,Villarreal,0,3,A,3.9,3.6,1.9,2022-08-13,la_liga
Barcelona,Vallecano,0,0,D,1.22,7.0,12.0,2022-08-13,la_liga
Hertha,Ein Frankfurt,1,1,D,3.0,3.5,2.3,2022-08-13,bundesliga
Hoffenheim,Bochum,3,2,H,1.57,4.5,5.25,2022-08-13,bundesliga
Leverkusen,Augsburg,1,2,A,1.3,5.75,9.5,2022-08-13,bundesliga
RB Leipzig,FC Koln,2,2,D,1.44,4.75,7.0,2022-08-13,bundesliga
Werder Bremen,Stuttgart,2,2,D,2.25,3.6,3.0,2022-08-13,bundesliga
Schalke 04,M'gladbach,2,2,D,3.1,3.8,2.15,2022-08-13,bundesliga
Milan,Udinese,4,2,H,1.44,4.75,7.0,2022-08-13,serie_a
Sampdoria,Atalanta,0,2,A,4.33,3.9,1.75,2022-08-13,serie_a
Lecce,Inter,1,2,A,10.0,5.75,1.28,2022-08-13,serie_a
Monza,Torino,1,2,A,2.6,3.3,2.75,2022-08-13,serie_a
Monaco,Rennes,1,1,D,2.15,3.5,3.25,2022-08-13,ligue_1
Paris SG,Montpellier,5,2,H,1.08,12.0,21.0,2022-08-13,ligue_1
Go Ahead Eagles,PSV Eindhoven,2,5,A,8.5,5.0,1.36,2022-08-13,eredivisie
FC Emmen,Waalwijk,1,1,D,1.9,3.75,3.8,2022-08-13,eredivisie
Utrecht,Cambuur,0,0,D,1.5,5.0,5.75,2022-08-13,eredivisie
Feyenoord,Heerenveen,0,0,D,1.3,5.5,8.0,2022-08-13,eredivisie
Westerlo,Standard,4,2,H,2.05,3.4,3.5,2022-08-13,pro_league
Cercle Brugge,Mechelen,0,0,D,2.1,3.6,3.3,2022-08-13,pro_league
Seraing,Charleroi,0,1,A,4.33,3.5,1.8,2022-08-13,pro_league
St. Gilloise,Kortrijk,2,1,H,1.4,4.75,7.0,2022-08-13,pro_league
Casa Pia,Benfica,0,1,A,12.0,5.5,1.25,2022-08-13,primeira_liga
Sp Lisbon,Rio Ave,3,0,H,1.22,6.0,11.0,2022-08-13,primeira_liga
Kayserispor,Istanbulspor,1,0,H,1.85,3.8,4.0,2022-08-13,super_lig
Ad. Demirspor,Sivasspor,3,0,H,1.9,3.6,4.0,2022-08-13,super_lig
Galatasaray,Giresunspor,0,1,A,1.44,4.33,8.0,2022-08-13,super_lig
Watford,Burnley,1,0,H,2.3,3.3,3.1,2022-08-12,championship
Osasuna,Sevilla,2,1,H,3.2,3.1,2.4,2022-08-12,la_liga
Freiburg,Dortmund,1,3,A,3.0,3.75,2.2,2022-08-12,bundesliga
Nantes,Lille,1,1,D,3.0,3.4,2.4,2022-08-12,ligue_1
Excelsior,Vitesse,3,1,H,3.75,3.75,1.9,2022-08-12,eredivisie
Oostende,Gent,1,3,A,4.75,3.75,1.7,2022-08-12,pro_league
Famalicao,Sp Braga,0,3,A,3.6,3.4,2.0,2022-08-12,primeira_liga
Trabzonspor,Hatayspor,1,0,H,1.5,4.5,6.5,2022-08-12,super_lig
West Brom,Watford,1,1,D,2.37,3.1,3.2,2022-08-08,championship
Gil Vicente,Pacos Ferreira,1,0,H,1.72,3.4,4.5,2022-08-08,primeira_liga
Buyuksehyr,Kasimpasa,4,0,H,1.75,3.6,4.2,2022-08-08,super_lig
Ankaragucu,Konyaspor,0,0,D,2.9,3.4,2.15,2022-08-08,super_lig
Fenerbahce,Umraniyespor,3,3,D,1.33,5.0,7.5,2022-08-08,super_lig
Manchester United,Brighton,1,2,A,,,,2022-08-07,epl
Troyes,PSG,0,1,A,,,,2022-08-07,ligue_1
West Ham,Manchester City,0,2,A,,,,2022-08-07,epl
Brighton,Manchester United,2,1,H,,,,2022-08-07,epl
Leicester,Brentford,2,2,D,2.0,3.75,3.5,2022-08-07,premier_league
Man United,Brighton,1,2,A,1.6,4.2,5.25,2022-08-07,premier_league
West Ham,Man City,0,2,A,8.0,5.0,1.36,2022-08-07,premier_league
Stuttgart,RB Leipzig,1,1,D,4.5,3.8,1.75,2022-08-07,bundesliga
FC Koln,Schalke 04,3,1,H,1.7,4.0,4.5,2022-08-07,bundesliga
Toulouse,Nice,1,1,D,2.87,3.3,2.5,2022-08-07,ligue_1
Angers,Nantes,0,0,D,2.7,3.25,2.7,2022-08-07,ligue_1
Lens,Brest,3,2,H,1.57,4.33,5.25,2022-08-07,ligue_1
Lille,Auxerre,4,1,H,1.7,4.0,4.5,2022-08-07,ligue_1
Montpellier,Troyes,3,2,H,2.2,3.5,3.3,2022-08-07,ligue_1
Rennes,Lorient,0,1,A,1.36,5.25,8.5,2022-08-07,ligue_1
Marseille,Reims,4,1,H,1.57,4.2,5.5,2022-08-07,ligue_1
Groningen,Volendam,2,2,D,1.72,4.0,4.33,2022-08-07,eredivisie
Nijmegen,Twente,0,1,A,3.1,3.6,2.2,2022-08-07,eredivisie
